test_artifact_marker_rejects_unresolved_shell_variable_operand (test_architecture_guard.ArchitectureGuardTests.test_artifact_marker_rejects_unresolved_shell_variable_operand) ... ok
test_assigned_digest_callable_cannot_hide_text_path_domain (test_architecture_guard.ArchitectureGuardTests.test_assigned_digest_callable_cannot_hide_text_path_domain) ... ok
test_assigned_subprocess_and_os_system_commands_are_rejected (test_architecture_guard.ArchitectureGuardTests.test_assigned_subprocess_and_os_system_commands_are_rejected) ... ok
test_assigned_text_path_rejects_artifact_byte_digest (test_architecture_guard.ArchitectureGuardTests.test_assigned_text_path_rejects_artifact_byte_digest) ... ok
test_build_configuration_rejects_openssl_loader_and_tls_ffi (test_architecture_guard.ArchitectureGuardTests.test_build_configuration_rejects_openssl_loader_and_tls_ffi) ... ok
test_build_configuration_rejects_system_openssl (test_architecture_guard.ArchitectureGuardTests.test_build_configuration_rejects_system_openssl) ... ok
test_cksum_sha256_routes_are_rejected (test_architecture_guard.ArchitectureGuardTests.test_cksum_sha256_routes_are_rejected) ... ok
test_composite_action_digest_is_scanned (test_architecture_guard.ArchitectureGuardTests.test_composite_action_digest_is_scanned) ... ok
test_composite_folded_command_and_helper_are_scanned (test_architecture_guard.ArchitectureGuardTests.test_composite_folded_command_and_helper_are_scanned) ... ok
test_concrete_provider_is_rejected_from_generic_tls_and_http (test_architecture_guard.ArchitectureGuardTests.test_concrete_provider_is_rejected_from_generic_tls_and_http) ... ok
test_config_scan_covers_nested_build_files (test_architecture_guard.ArchitectureGuardTests.test_config_scan_covers_nested_build_files) ... ok
test_fully_qualified_std_net_type_in_public_api_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_fully_qualified_std_net_type_in_public_api_is_rejected) ... ok
test_generated_and_build_directories_are_ignored (test_architecture_guard.ArchitectureGuardTests.test_generated_and_build_directories_are_ignored) ... ok
test_internal_names_in_comments_and_literals_do_not_trigger (test_architecture_guard.ArchitectureGuardTests.test_internal_names_in_comments_and_literals_do_not_trigger) ... ok
test_invalid_utf8_helper_fails_closed (test_architecture_guard.ArchitectureGuardTests.test_invalid_utf8_helper_fails_closed) ... ok
test_json_mode_has_stable_machine_readable_shape (test_architecture_guard.ArchitectureGuardTests.test_json_mode_has_stable_machine_readable_shape) ... ok
test_keyword_text_path_rejects_artifact_byte_digest (test_architecture_guard.ArchitectureGuardTests.test_keyword_text_path_rejects_artifact_byte_digest) ... ok
test_legacy_global_tls_provider_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_legacy_global_tls_provider_is_rejected) ... ok
test_literal_log_path_is_text_evidence (test_architecture_guard.ArchitectureGuardTests.test_literal_log_path_is_text_evidence) ... ok
test_local_digest_wrapper_cannot_hide_text_path_domain (test_architecture_guard.ArchitectureGuardTests.test_local_digest_wrapper_cannot_hide_text_path_domain) ... ok
test_low_level_names_in_public_comments_and_literals_do_not_trigger (test_architecture_guard.ArchitectureGuardTests.test_low_level_names_in_public_comments_and_literals_do_not_trigger) ... ok
test_manifest_cannot_hide_folded_text_operand (test_architecture_guard.ArchitectureGuardTests.test_manifest_cannot_hide_folded_text_operand) ... ok
test_multiple_rules_on_one_config_line_are_all_reported (test_architecture_guard.ArchitectureGuardTests.test_multiple_rules_on_one_config_line_are_all_reported) ... ok
test_native_code_rejects_system_openssl_runtime_loader (test_architecture_guard.ArchitectureGuardTests.test_native_code_rejects_system_openssl_runtime_loader) ... ok
test_network_package_rejects_sdk_socket_types_but_allows_owned_raw_socket (test_architecture_guard.ArchitectureGuardTests.test_network_package_rejects_sdk_socket_types_but_allows_owned_raw_socket) ... ok
test_non_python_digest_requires_explicit_domain_marker (test_architecture_guard.ArchitectureGuardTests.test_non_python_digest_requires_explicit_domain_marker) ... ok
test_non_python_domain_manifest_matches_exact_command (test_architecture_guard.ArchitectureGuardTests.test_non_python_domain_manifest_matches_exact_command) ... ok
test_non_python_tool_digest_is_scanned (test_architecture_guard.ArchitectureGuardTests.test_non_python_tool_digest_is_scanned) ... ok
test_one_way_public_to_internal_dependency_is_allowed (test_architecture_guard.ArchitectureGuardTests.test_one_way_public_to_internal_dependency_is_allowed) ... ok
test_openssl_and_embedded_python_digest_commands_are_rejected (test_architecture_guard.ArchitectureGuardTests.test_openssl_and_embedded_python_digest_commands_are_rejected) ... ok
test_openssl_shortcut_and_license_operand_are_rejected (test_architecture_guard.ArchitectureGuardTests.test_openssl_shortcut_and_license_operand_are_rejected) ... ok
test_package_must_match_source_path (test_architecture_guard.ArchitectureGuardTests.test_package_must_match_source_path) ... ok
test_pinned_static_provider_archive_is_allowed (test_architecture_guard.ArchitectureGuardTests.test_pinned_static_provider_archive_is_allowed) ... ok
test_powershell_sha256_api_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_powershell_sha256_api_is_rejected) ... ok
test_private_runtime_and_legacy_stack_are_rejected (test_architecture_guard.ArchitectureGuardTests.test_private_runtime_and_legacy_stack_are_rejected) ... ok
test_public_alias_to_internal_import_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_public_alias_to_internal_import_is_rejected) ... ok
test_public_alias_to_public_owner_is_allowed (test_architecture_guard.ArchitectureGuardTests.test_public_alias_to_public_owner_is_allowed) ... ok
test_public_header_with_internal_import_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_public_header_with_internal_import_is_rejected) ... ok
test_public_internal_dependency_cycle_is_rejected_deterministically (test_architecture_guard.ArchitectureGuardTests.test_public_internal_dependency_cycle_is_rejected_deterministically) ... ok
test_public_member_of_private_class_is_not_exported (test_architecture_guard.ArchitectureGuardTests.test_public_member_of_private_class_is_not_exported) ... ok
test_public_member_of_public_class_with_internal_type_is_rejected (test_architecture_guard.ArchitectureGuardTests.test_public_member_of_public_class_with_internal_type_is_rejected) ... ok
